"","Auth1","Auth2","ref.year","journal","tax_name","top1_tax_name","tax_id"
"1","Motomura,K.","Takebe,Y.",2000,"Submitted (09-MAY-2000) Kazushi Motomura, National Institute of	Infectious Diseases, Molecular Virology and Epidemiology;	1-23-1,Toyama, Shinjuku, Tokyo 162-8640, Japan	(E-mail:motomura@nih.go.jp, Tel:81-3-5285-1111(ex.2537),	Fax:81-3-5285-1129)","Human immunodeficiency virus 1","Viruses",11676
"2","Motomura,K.","Takebe,Y.",2000,"Submitted (27-MAY-2000) Contact:Kazushi Motomura National Institute	of Infectious Diseases, Molecular Virology and Epidemiology;	1-23-1,Toyama, Shinjuku, Tokyo 162-8640, Japan","Human immunodeficiency virus 1","Viruses",11676
"3","Yang,R.","Takebe,Y.",2000,"Submitted (30-MAY-2000) Rongge Yang, National Institute of	Infectious Diseases, Laboratory ofMolecular Virology and	Epidemiology,AIDS Research Center; 1-23-1,Toyama, Shinjuku, Tokyo	162-8640, Japan (E-mail:ryang@nih.go.jp,	Tel:81-3-5285-1111(ex.2537), Fax:81-3-5285-1129)","Human immunodeficiency virus 1","Viruses",11676
"4","Hara,T.","Nakasone,T.",2000,"Submitted (17-OCT-2000) Takashi Hara, national institute of	infectious diseases, aids research center the first research group;	toyama1-23-1, shinjuku-ku, Tokyo-to 162, Japan	(E-mail:hara@nih.go.jp, Tel:0352851111(ex.2737), Fax:0352851183)","Human immunodeficiency virus 1","Viruses",11676
"5","Hara,T.","Nakasone,T.",2000,"Submitted (17-OCT-2000) Contact:Takashi Hara national institute of	infectious diseases, aids research center the first research group;	toyama1-23-1, shinjuku-ku, Tokyo-to 162, Japan","Human immunodeficiency virus 1","Viruses",11676
"11","Handema,R.","Terunuma,H.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"21","Handema,R.","Kasolo,F.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"31","Handema,R.","Kasai,H.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"41","Handema,R.","Xuewen,I.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
"51","Handema,R.","Kozi,I.",2000,"Submitted (08-NOV-2000) Hirotake Kasai, Yamanashi Medical	University, School of Medicine Department of Microbiology;	Tamaho-cho shimokawahigashi 1110, Nakakoma-gun, Yamanashi 409-3898,	Japan (E-mail:hirotake@res.yamanashi-med.ac.jp, Tel:81-55-273-9539,	Fax:81-55-273-6728)","Human immunodeficiency virus 1","Viruses",11676
